Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
KEIL M.A. OÜ,530359,156426,12372411,50
PAFER AS,529738,108765,46877,42
TORM METALL OÜ,529100,246342,3938007,119
ESTRAVEL AS,527350,402211,1903935,158
AASTA AUTO PLUSS AS,526579,108483,5011209,34
DELAVAL OÜ,526074,136872,3895983,39
JALAX AS,524164,328004,4247142,144
HANSAB AS,522674,213309,3798284,84
ALEXELA OIL AS,520631,374444,45648803,219
METOS AS,516635,284016,3854437,75
PILETILEVI AS,516211,82614,1594819,41
LEVIRA AS,514587,357520,2571763,103
TALLINNA TOIDUVEOD AS,514583,326260,2121897,181
KH ENERGIA - KONSULT AS,514449,237980,3792562,90
UNILEVER EESTI AKTSIASELTS,513635,85019,2497803,26
MYJAR IT OÜ,511560,531193,7341338,138
NORDECON BETOON OÜ,510945,450142,14348081,120
COLLADE OÜ,509177,42573,335918,28
PRISTIS AS,509125,223122,3282319,66
SILPOWER AKTSIASELTS,507761,180411,3351697,141
EXPRESS POST AS,503904,336927,1540485,502
BETONEKS AS,503533,379492,4405683,128
LINDAB AS,502898,235106,6405873,77
RGR METALL OÜ,500673,148446,9570893,64
LEIPURIN ESTONIA AS,500056,29888,3699240,8
GREINER PACKAGING AS,498222,303401,7581087,132
WHITERIVER OÜ,496798,1611,2531113,1
TRAFOTEK AS,495142,516581,9473441,255
MERITON HOTELS AS,494831,342270,3940431,303
AKTSIASELTS MEDICUM TERVISHOIUTEENUSED,494821,517532,49548,316
MOTORAL EESTI AS,493836,131409,3822207,30
EUROAPTEEK OÜ,492670,425706,8110157,231
TALLINNA JÄÄTMETE TAASKASUTUSKESKUS AS,492633,219640,3077188,85
EUROPARTS AUTODET AS,492246,74298,3995080,23
APRANGA OÜ,492181,138178,3957247,145
TS LAEVAD OÜ,492149,495547,2660125,133
BALTFARMA OÜ,491615,52964,11473051,33
E-SERVICE AS,489254,238502,2306649,115
ESTREFTRANSSERVICE AS,488253,29752,2315334,20
STANDARD AS,488098,512472,9900425,219
TECHNOPOLIS ÜLEMISTE AS,487940,73739,4195979,20
T-TAMMER OÜ,487819,524017,10563053,177
AS GLAMOX,487148,521756,20024515,189
TIRESTAR OSAÜHING,484823,45781,5917262,17
PROMENS AS,484718,525336,8987944,311
VALGA HAIGLA AS,484055,518474,22366,343
JÄRVAMAA HAIGLA AS,483462,515010,24023,305
TRADEHOUSE OÜ,481824,217390,4491502,118
AS RANNAROOTSI LIHATÖÖSTUS,481810,258812,5022445,178
