Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
ORDI AS,481196,65295,4504766,27
IGEPA LIBRA VITALIS AS,480943,59649,4527666,20
KARL BILDER OÜ,480521,137483,6648013,55
SPORTRADAR OÜ,479617,516246,1393331,210
RAKVERE FARMID AKTSIASELTS,479546,327926,7535779,185
SAARIOINEN EESTI OÜ,478647,331694,5067788,203
VIKING MOTORS AS,477773,365500,13285521,101
NITTIS OÜ,477538,195127,5427918,157
SAAREMAA LIHATÖÖSTUS OÜ,477452,328972,4571272,215
MERINVEST OÜ,476836,517297,6787112,326
JELD-WEN EESTI AS,476573,1312715,22592709,737
ROSENTOR OÜ,476251,397176,3673789,168
COLORDIA AS,474749,16028,3838494,7
ESTEVE AS,474228,358165,2592248,157
PROPAAN AS,474065,82611,1483045,43
PACK HOLDING OÜ,473997,79442,4652520,33
BAUEST OÜ,473971,108189,6668766,42
HHLA TK ESTONIA AS,472114,518854,6367073,266
HEIDELBERG BALTIC FINLAND OÜ,470526,50781,4161734,11
FORS MW AS,467780,353593,5901701,136
SILLAMÄE SADAM AS,467713,414084,6076089,144
INTERALTUS OÜ,466288,77680,3766957,42
GRK INFRA AS,464349,147297,7104130,19
REMEKSI KESKUS AS,463270,425308,3725794,218
TIREMAN OÜ,461752,153474,3726888,63
SCHMITZ CARGOBULL EESTI OÜ,461393,45647,4562473,6
SEMETRON AS,459712,130726,4202671,47
OÜ KULUKAUBANDUS,459618,116438,3927422,45
SANATOORIUM TERVIS AS,457731,307173,1919016,292
HAAPSALU UKSETEHASE AS,456625,399812,3437134,165
R-KIOSK ESTONIA AS,456320,343261,8101900,259
PUHASTUSIMPORT OÜ,454807,169566,3720687,59
INTER RAO EESTI OÜ,453313,8476,5263329,2
AS TKM KING,451286,178458,3714945,127
DATA PRINT OÜ,450458,192083,4728875,69
KODUEKSTRA OÜ,450016,186866,3991733,190
SAKU LÄTE OÜ,446959,232739,1929759,103
EVENTUS EHITUS OÜ,446673,108317,8324687,24
VILJANDI TARBIJATE ÜHISTU,446607,274113,8359853,276
FINESTMEDIA AS,445887,284370,1331061,74
ESTONIA SPA HOTELS AS,445801,294092,1895371,324
WEXL GRUPP OÜ,445003,25144,10136565,21
KAUR TRADE OÜ,443725,70668,3780849,28
COMPENSA LIFE VIENNA INSURANCE GROUP SE,443218,439448,56604,68
BANG & BONSOMER EESTI OÜ,442126,75921,4136427,18
TARMETEC OÜ,441807,471261,6728261,206
DTRIM GRUPP OÜ,441788,29010,4905843,18
GOBUS AS,441694,580640,2079550,409
EHITUSFIRMA RAND JA TUULBERG AS,441253,250830,15955053,67
LEIBUR AS,440873,386252,8115670,191
MINKON OÜ,440673,1075,24277,2
ZOOVETVARU OÜ,439270,42938,4672371,17
PÕLLUMEESTE ÜHISTU KEVILI,438999,104042,24248209,37
ALPTER GRUPP OÜ,436871,199985,2541989,134
AB MEDICAL GROUP EESTI OÜ,436022,61418,4184555,23
TRANSCOM EESTI OÜ,435737,453052,1769276,356
FLEXA EESTI AS,434340,465858,11310667,283
FORTUNA TRAVEL OÜ,433700,320753,3190158,179
SANTA MONICA NETWORKS AS,433391,190439,3559783,44
PROPLASTIK OÜ,433250,52863,5587825,25
ESTPLAST TOOTMINE OÜ,432227,99428,3490220,37
ELVA TARBIJATE ÜHISTU,432224,296627,8442359,267
ESTANC AS,432040,451911,9450430,134
AMEERIKA AUTOTEENINDUSE OÜ,431845,45717,2316155,23
INTERCONNECT PRODUCT ASSEMBLY AS,428242,372421,7147485,198
HEKOTEK AS,427710,405291,9256301,118
ELEKTRITSENTRUM AS,426815,258776,2999985,113
LINDEX EESTI OÜ,426612,75695,4480948,88
GUARDTIME AS,423188,453517,1715094,78
KARO METS OÜ,423090,137065,4363627,41
VÕRU TARBIJATE ÜHISTU,422777,278728,6645479,302
SILMANI ELEKTER AS,422157,54185,3897795,35
HYDROSCAND AS,420978,232037,6149367,64
ASTON SYNTHETICS OÜ,420309,73077,1101955,39
TEMIIR AS,419938,206850,2143581,95
TRINIDAD WISEMAN OÜ,418057,241639,1393155,72
WIRTGEN EESTI OÜ,417866,42098,3717224,10
HARKU KARJÄÄR AS,417555,220740,1524197,80
CITADELE BANKA EESTI FILIAAL AS,416989,278303,131518,77
ADVOKAADIBÜROO TGS BALTIC AS,416336,192011,1204408,48
MONESE LTD EESTI FILIAAL,415759,399551,94010,109
ESPERAN OÜ,415672,259021,2053572,264
OSAÜHING FISKOSTAR,413997,80821,2946274,32
INTERCHEMIE WERKEN DE ADELAAR EESTI AS,413697,201850,10507628,118
REALISEERIMISKESKUS OÜ,413499,166696,3599141,125
VEGELOG OÜ,413082,19763,6787424,9
TK-FASHION OÜ,412546,86572,2967889,71
KONECRANES OÜ,412417,331883,2160936,116
MEDIQ EESTI OÜ,411275,131953,4976918,46
TELKO ESTONIA OÜ,410611,36838,4461585,10
KADAKA AIANDI AS,408753,24092,1920330,13
SAUE TOLLIAGENTUUR OÜ,407624,2195,19913,2
LÕUNAKESKUS OÜ,404652,62396,3516914,19
FRELOK AS,404468,155559,7188578,63
MASS AS,402407,58921,2729229,26
CLIK AS,401279,216574,2631873,70
DPD EESTI AS,401216,299753,7625449,132
LUNDEN FOOD OÜ,399620,430247,7904087,304
SAUTEC AS,399548,20859,3299318,6
BECKY AS,399401,47127,3019714,19
KAURITS OÜ,399342,181443,2219445,52
OÜ NORDAUTO GRUPP,399308,84431,7445403,25
MAGNUM VETERINAARIA AS,398102,83137,5128752,27
SIA TOYOTA MATERIAL HANDLING BALTIC EESTI FILIAAL,397836,71574,2511578,26
BIRGER OÜ,397379,393820,7287536,189
FORSS OÜ,397326,201378,2460892,65
ESTIKO-PLASTAR AS,397215,400737,10750014,149
INDUSTRY62 OÜ,396670,330999,1540437,76
LINFORD AS,395308,93958,1983854,17
TECHNOMAR & ADREM AS,395209,791102,11914103,605
OÜ EUROBIO LAB,394510,429177,7949793,257
VÄÄTSA AGRO AS,393804,204609,2147306,85
INSENEREHITUSE AS,393288,80793,3430428,23
IPF DIGITAL AS,393285,316590,12726870,61
BONDORA AS,392863,171568,1178152,34
AS DIMEDIUM,392781,110526,3428071,36
SMARTECON OÜ,392637,10295,4443336,5
CATWEES OÜ,392072,206819,5095493,67
AXINOM EESTI OÜ,391958,411855,1478385,94
CRISTELLA VT OÜ,391469,365633,6473943,275
HAMMERJACK OÜ,391014,69741,2628279,29
JCDECAUX EESTI OÜ,390826,107328,2054811,30
AKTSIASELTS AVESCO,390526,137693,6419150,36
OP FINANCE AS,390196,45790,28400093,13
WHIRLPOOL EESTI OÜ,390068,29774,3387518,5
TELEGRUPP AS,389068,259729,3803059,91
KOMERK AS,388936,95540,1761891,29
ELMAKSI HULGIKAUBANDUS AS,388879,25880,5450803,11
BOFTEL ESTONIA OÜ,387589,256156,1393438,112
PÕLVA HAIGLA AS,387475,411480,44702,290
HIRERIGHT ESTONIA AS,387404,410248,1322602,104
REVAL AUTO ESINDUSED OÜ,387393,255691,8935981,85
GALV-EST AS,387289,156795,2176220,60
MEDIABRANDS DIGITAL OÜ,387094,117261,3454873,40
GRÜNE FEE EESTI AS,386982,195442,2658274,121
PLASTO AS,386758,14025,3418302,8
BETOONIMEISTER AS,386323,182692,4370085,42
SEB ELU-JA PENSIONIKINDLUSTUS AS,384947,387252,24331,62
FORUM CINEMAS OÜ,383507,152248,2665119,110
QUANT ESTONIA OÜ,383042,277053,1437583,99
WEEKEND EESTI OÜ,382287,100023,3412799,75
ORU ÄRI AS,382020,45352,3449849,15
B.BRAUN MEDICAL OÜ,381556,114741,3513533,26
NORDIC SPEDITION OÜ,381274,72002,6217536,21
SWECON AS,381033,142254,3952393,40
HELIOEST OÜ,380951,706,2992519,5
QVALITAS ARSTIKESKUS AS,379928,399306,38061,244
MOONCASCADE OÜ,377937,296762,1032735,81
VIDEOB OÜ,377928,389198,1487263,89
NOTE PÄRNU OÜ,377692,400103,10447794,256
OPTIMUS SYSTEMS AS,377514,119910,2715143,40
ARU GRUPP AS,377332,404576,3361534,171
ROCCA AL MARE KOOLI AS,376985,403191,130171,199
PKC EESTI AS,376633,390098,10570288,85
A.V.M. LOGISTIC OÜ,376557,211707,1074318,93
QUANTUM EESTI AS,375891,64991,2417002,19
UPTIME OÜ,375811,219394,1085793,58
AS EESTI LEIVATÖÖSTUS,375568,252886,2172016,190
CAPITAL KINNISVARA OÜ,375225,1942,1761544,1
PAKPOORD OÜ,371192,21166,2310027,13
GOTRACK OÜ,370608,316049,2314587,94
KRAUSBERG EESTI OÜ,370552,235224,994987,376
SWISSOTEL ESTONIA OÜ,369980,362799,3096974,251
MEGAFORT OÜ,369480,165217,3592468,122
IGLU OÜ,368900,172793,1036674,44
MOREEN OÜ,368826,141493,2372398,47
SWEDBANK LIFE INSURANCE SE,368815,362363,64886,38
EM-SERV AS,368434,80161,3623738,28
BK EESTI AS,367966,59958,1992373,20
OÜ PMT,367491,195393,3598420,90
FILTER AS,365787,193299,4042559,51
MERKO EHITUS AS,365050,94167,1192878,14
FINEST STEEL AS,364984,113181,2749348,44
ROCKWOOL OÜ,364926,10565,3219584,3
VTA TEHNIKA AS,364809,56653,3304683,16
AD BALTIC AS,364558,51199,3550648,23
BIURO OÜ,363909,258796,853295,169
TALLINNA KAUBAMAJA GRUPP AS,363256,241938,1247656,74
TARTU AGRO AS,361725,218764,1870985,123
BAUROC AS,361165,371997,5840209,119
AKTSIASELTS NORDIC AVIATION GROUP,360399,308927,8887814,53
ADVOKAADIBÜROO PRICEWATERHOUSECOOPERS LEGAL OÜ,360298,114857,854506,27
SUPERGATE OÜ,360082,8958,47766,3
LIIVAKU KAUPLUSE OÜ (LIKVIDEERIMISEL),359882,4876,0,2
HILTI EESTI OÜ,359199,105942,2658663,28
INSPECTA ESTONIA OÜ,358840,213135,1009081,65
SALUTAGUSE PÄRMITEHAS AS,358773,373924,13287115,141
SKARABEUS JULGESTUSTEENISTUS OÜ,358612,230015,914252,265
ZEROTURNAROUND AS,358547,380705,4435747,63
BALTIC PACK EST AS,358365,67172,3184841,24
ITM TRADE OÜ,357412,208095,3347340,64
HC BETOON AS,357179,200286,4184122,55
BISTON OÜ,356782,60349,2292041,34
SAKU METALL UKSETEHAS AS,356284,334314,2990905,118
RESTOPLUS OÜ,356227,234969,1151478,134
ROYAL UNIBREW EESTI OÜ,356071,38453,3195664,12
GIGA EHITUS OÜ,355956,202032,1600313,63
MATTIAS CAFE OÜ,355859,222448,1748542,245
JÕGEVA MAJANDUSÜHISTU,355644,211328,5900473,197
KEKKILÄ EESTI OÜ,355150,101107,3189383,27
HARJU ELEKTER TELETEHNIKA AS,355132,238498,5193789,104
BERLIN-CHEMIE MENARINI EESTI OÜ,354976,138113,4774485,28
FARWELLI KAUBANDUSE OÜ,354935,49735,1861346,23
ADCASH OÜ,354905,380092,11008967,74
GREEN MARINE AS,354814,128700,1492933,39
OSAÜHING OSULA GRAANUL,354713,94571,9790095,33
BCS ITERA AS,354483,209686,1154374,50
SWECO PROJEKT AS,352889,182012,1314352,62
WIDEX EESTI OÜ,351767,376199,1285718,205
FENESTRA AS,351725,346719,6306149,94
PLAAT DETAIL OÜ,351701,136715,6234218,55
PEPCO ESTONIA OÜ,348534,58253,4058528,84
AUTO24 AS,348333,125130,1328814,29
NCG IMPORT BALTICS OÜ,347191,68422,13833037,11
OSAÜHING ESTOVER PIIMATÖÖSTUS,347046,270600,7360491,161
SÄÄSTKE OÜ,346910,371709,4582613,214
KOLMEKS AS,345904,339225,8403709,159
STARMAKER OÜ,345666,240796,1522080,208
LENNE OÜ,345512,105683,3724716,56
AS DOTNUVA BALTIC,345149,143269,3628605,35
ALEXELA TERMINAL AS,344004,211400,4870016,65
TORNATOR EESTI OÜ,343672,32296,1636412,8
OSAÜHING TS SHIPPING,343390,366666,21652,46
VIAMER GRUPP OÜ,342579,147987,3065987,16
SK ID SOLUTIONS AS,342405,200000,2510703,44
ACINO ESTONIA OÜ,342396,199903,2267214,60
VIKING WINDOW AS,342107,333524,5178447,131
MUUGA BETOONELEMENT AS,342056,362592,4938573,120
PAPYRUS AS,341908,47946,3137100,6
EMOR AS,341499,220478,1552055,229
BEST4U OÜ,341440,73083,14948,51
RAHVA RAAMAT AS,341232,214995,5447023,209
NAVALIS GROUP OÜ,341113,357263,2534563,212
MAREPLEKS OÜ,340924,198883,2045418,110
INSTRUMENTARIUM OPTIKA OÜ,340769,352321,2761725,220
JALAJÄLG AS,339792,155508,4106138,47
AATRIUM SISUSTUSKAUBAMAJA AS,339591,108003,2883873,42
AS YIT EESTI,338785,324331,3600215,65
FERTILITAS AS,338225,345036,102580,218
AKTSIASELTS HANSA BUSSILIINID,338081,362065,851562,243
TALWEST GRUPP OÜ,336869,97092,3435416,84
SANTA MARIA AS,336842,293334,14837514,101
STORENT OÜ,336494,117708,2733188,46
ARKE LIHATÖÖSTUS AS,336443,170272,3010233,111
GLOBAL BLUE EESTI OÜ,336058,20786,298201,11
SKINEST RAIL AS,335858,193344,5241976,46
ELKE MUSTAMÄE AS,334445,261157,10475955,95
BALTIC WORKBOATS AS,332863,668112,9298642,197
WATERCOM OÜ,332845,189961,3422289,59
PROTEX BALTI AS,332753,267693,1230529,219
YEINTERNATIONAL AS,332460,88930,2226738,29
AS ALFONS HAKANS,331965,348448,4600466,104
CERTEX EESTI OÜ,331698,156125,2928480,44
SOLARIS KESKUS AS,331652,22768,2272603,5
VIIMSI KEEVITUS AS,329656,99971,3937788,35
SOKOTEL AS,329531,318127,5121983,255
MOLLER AUTO PÄRNU OÜ,328933,94391,4510405,31
TOLLIBÜROO OÜ,328900,13573,43500,4
ONOFF JAEKAUBANDUSE OÜ,328187,140007,5255975,73
MARU BETOONITÖÖD OÜ,327947,238331,1970640,53
AKTSIASELTS CREDITINFO EESTI,327647,179965,1213767,47
NEROSTEIN OÜ,327330,336492,3987495,109
DS SMITH PACKAGING ESTONIA AS,327123,218784,3545525,80
EVENTECH OÜ,326980,147270,2485813,38
GRANT THORNTON BALTIC OÜ,326563,243853,840830,83
VESTA TERMINAL TALLINN OÜ,325648,276205,1870195,71
MASCOT BALTIC OÜ,325543,125884,4020715,70
ALNITEK PROJECT SERVICE OÜ,325181,1921,30659,6
BOEHRINGER INGELHEIM RCV GMBH & CO KG EESTI FILIAAL,324847,95551,6579258,17
REATON OÜ,324227,30529,2968494,11
ALPEK FL OÜ,324115,76295,2180548,27
FIFAA AS,323361,183890,3273379,106
EBAVERE GRAANUL OÜ,323307,79667,3874864,32
INSERTA GRUPP OÜ,323236,1620,43509,6
KEMIMET INTERNATIONAL OÜ,322923,8567,2539752,7
PROJECTA BALTI OÜ,322899,37331,2323265,12
BALTI TÖÖSTUSMONTAAZI OÜ,322773,158980,2295831,69
MITT & PERLEBACH OÜ,322451,187653,12800911,55
HYDRO EXTRUSION BALTICS AS,322149,40394,3388894,12
TALLINNA ÄRIPANGA AS,321820,245128,104163,78
BESTMARKI SUURKÖÖKIDE AS,321575,65576,2718321,24
RESPO HAAGISED AS,321241,272405,5375874,123
AEGVIIDU PUIT AS,320362,124799,5484853,52
KIIRWARREN.KL OÜ,319917,119202,2409781,36
OÜ OILSEEDS TEHNIKA,319880,112409,1702845,18
PUHASTUSPROFF OÜ,319761,185111,1369609,335
OVERALL EESTI AS,319348,97554,2876183,46
GOWORKABIT ESTONIA OÜ,319313,213725,649341,108
AQVA HOTELS OÜ,318569,182932,1779969,173
ESTMA OÜ,316922,104225,8192163,45
EUROSTAUTO OÜ,316377,134049,3417867,44
IIZI KINDLUSTUSMAAKLER AS,316217,333975,24779,103
JÄRVE KAUBANDUSKESKUS OÜ,316102,12249,2087053,5
SIGARI MAJA OÜ,315412,37910,1028919,23
TEEDE TEHNOKESKUS AS,315231,139618,1205999,62
EFFEX AS,314891,53646,2423147,30
VIVAREC OÜ,313257,67590,2280261,16
NELJA ENERGIA AS,312644,182909,1829556,12
THREOD SYSTEMS OÜ,312534,142004,1204392,44
APOLLO KINO OÜ,312085,122673,3351516,114
BALTYRE EESTI AS,311754,104849,7064655,24
FRESENIUS MEDICAL CARE ESTONIA OÜ,311388,179300,699859,87
SEGERS EESTI OÜ,311290,76017,1867488,73
IV PLUSS AS,310668,82540,3210587,31
AU ENERGIATEENUS OÜ,310077,53394,2336489,14
LABELPRINT OÜ,309857,188090,3370971,67
FORKLIFT OÜ,309824,109476,2024627,42
VMT TEHASED AS,309734,316644,5112849,129
ESTONIA LOGISTICS OÜ,309565,18812,121946,13
AUTO 100 TALLINN AS,309366,217424,7879310,68
VALDEK AS,308873,188103,2235258,55
VILCON EHITUS OÜ,308851,89374,5146742,21
VEVID AS,308247,110863,5116378,27
EXCELLENT BUSINESS SOLUTIONS EESTI AS,306174,106149,1052192,28
RAIN TRANSPORT AS,306109,212839,1823600,139
FERE OÜ,305937,57857,1746922,31
CV KESKUS OÜ,305569,130008,1089628,29
RELAX TECH SERVICES OÜ,304621,333377,835876,52
ÜLE OÜ,303685,170832,1709162,50
KÄRCHER OÜ,303245,37144,2609584,14
SAKRET OÜ,302393,64572,2557451,27
KYYRIX OÜ,301881,170589,827660,276
SMISO OÜ,301798,182558,1195509,150
PÕLVA TARBIJATE ÜHISTU,301373,324998,8138193,363
VAIMO OÜ,301020,308948,907281,52
FINNAIR BUSINESS SERVICES OÜ,300156,326030,1544594,169
KAROTRANS AS,300110,181144,1562761,53
FOODEXPERT OÜ,299432,18567,3854148,7
KLAASIMEISTER AS,299152,212483,5457844,91
PROBEX OÜ,299097,22652,1697089,8
TORU-JÜRI OÜ,298743,33507,2427660,29
INDOOR GROUP AS,298246,106839,3587742,58
FOREST RESERVES OÜ,298229,11692,1394045,4
FCR MEDIA OÜ,298102,171920,1367380,45
HAAPSALU TARBIJATE ÜHISTU,297862,157458,4714868,144
INSENERIBÜROO TELORA OÜ,297459,149663,926080,37
TARTU VEEVÄRK AS,297398,178956,2874239,97
HANSABUSS AS,297316,253371,1883042,128
PLUSPAK OÜ,297171,20290,3666640,8
COATS EESTI AS,296121,168402,3063214,86
NIXOR EE AS,296017,103438,2040446,41
HORECA SERVICE OÜ,295530,132570,4201990,69
ZEIGO SERVICE OÜ,295110,26508,2513643,9
KARKAT FASHION OÜ,295028,131792,1462756,85
NETAMAN REPAIR GROUP OÜ,294965,260082,4059045,173
IMPORT AUTO OÜ,294750,24232,2879339,12
ARUNA-EHITUS OÜ,294666,130632,1203566,50
MONIER OÜ,294559,153205,3733281,50
NEOTECH DEVELOPMENT OÜ,294429,280456,1654416,76
BALTIC MARINE GROUP AS,293895,127342,4328119,24
EMBACH EHITUS OÜ,293433,182616,6474156,45
KAAMOS EHITUS OÜ,292706,114566,6142562,29
PIHLAKA AS,292292,159423,1171219,132
APL PRODUCTION AS,292285,291805,2755558,137
HAUSERS GRUPP OÜ,292047,14807,1728889,6
TRIOGAMES OÜ,291408,193742,159762,31
SAKSA AUTOMAATIKA OÜ,291321,90371,1914754,26
OSAÜHING JÄRVE BIOPUHASTUS,291249,216200,1521272,81
AASTA AUTO AS,291088,166089,5730094,52
RAADIOREKLAAMI OÜ,290009,184526,1205771,85
NORDKALK AS,289430,228265,5095144,92
CARRING AS,289158,53299,2787663,21
ARGMAR GRUPP OÜ,288892,154965,1631316,191
MÖÖBLIEKSPERT PAIGALDUS OÜ,288309,288503,559851,100
ISIS MEDICAL OÜ,288274,49427,2327047,13
OÜ SARU LAUAVABRIK,288071,138563,3510324,146
ELECTROLUX EESTI AS,287531,71588,6381376,13
TUMLARE CORPORATION ESTONIA OÜ,287370,306879,1007196,157
"UAB ""JOHNSON & JOHNSON"" EESTI FILIAAL",287349,88579,4193099,15
MALWAREBYTES ESTONIA OÜ,287194,304342,1082076,53
LIDO EESTI OÜ,286680,155211,1464231,109
APOLLO KAUPLUSED OÜ,286009,196335,4594985,195
REME GRUPP OÜ,285027,91985,1351945,60
EESTI OTIS AS,284158,130745,1341432,54
TALLMAC TEHNIKA OÜ,284153,91075,2353826,24
OSAÜHING EESTI VILJASALV,283758,41064,4161192,15
ALLEPAL OÜ,283199,99241,1085822,27
VAPI PEOPLE OÜ,283145,203369,621058,201
KINEMA OÜ,281557,90863,2030980,29
TERRAT AS,281404,146365,2382598,48
EKTACO AS,281381,174441,923455,35
EESTI METSAMEISTER OÜ,280984,7682,1492499,9
TRIEST-VAL AS,280944,239468,3351168,267
OSAÜHING BOHNENKAMP,280565,17662,2849490,4
METAL EXPRESS OÜ,280551,38494,3744259,11
TOILA SANATOORIUM AS,280533,224336,1463090,199
AS ORIBALT TALLINN,280506,12193,8636966,6
MFO OÜ,279661,7189,5242771,2
SYSTEMAIR AS,278879,48454,2326345,12
EDELARAUDTEE INFRASTRUKTUURI AS,278801,161434,1860813,85
VIASTON INFRA OÜ,278596,45287,4008730,13
URSUS OÜ,278591,84150,2131794,48
"""PHOENIX CONTACT"" UAB",278367,19862,2635971,4
ARKAADIA PUHASTUSE OÜ,278005,165401,812394,291
ESKARO AS,277972,165794,2219681,72
REINPAUL OÜ,277421,192561,2895376,75
W-GLASS OÜ,277182,238323,5495412,84
SVARMIL AS,276874,247596,2861888,246
ELKE MUSTAKIVI AS,276254,176671,5867979,56
CREATIVE MOBILE OÜ,275754,292915,4311013,79
BARRUS AS,275666,601116,18106894,247
NICOREX BALTIC OÜ,275341,85661,1274515,56
EPLER & LORENZ AS,275105,102201,1516461,62
ASTLANDA HOTELLI AS,275090,253842,3062877,225
SUTHERLAND GLOBAL SERVICES OÜ,274912,295770,2303574,145
DESLEE BALTIC OÜ,274800,49383,3354409,29
COMBIWOOD OÜ,274695,296619,8212953,154
HAANPAA OÜ,274311,246017,8562763,90
PAIDE MEK AS,273915,178688,4250034,80
SIA DAW BALTICA EESTI FILIAAL,273897,68926,1822778,16
BALTIC BOLT OÜ,272942,107838,1750418,39
RIDANGO AS,272874,249617,1621837,60
MOLLER AUTO VIRU AS,271622,62972,3374549,27
MBR METALS OÜ,271511,38706,1724030,9
NUIA PMT AS,271487,153580,2702402,76
IF P&C INSURANCE LTD (PUBL) EESTI FILIAAL,271462,291330,1226492,139
SAKSA REHVID OÜ,271400,29527,2750401,5
TALLINNA SOOJUS AS,270610,24721,1139441,9
PAGARIPOISID OÜ,270492,186149,1286392,144
NETS ESTONIA AS,270201,186981,789072,42
STAFFRENT OÜ,270113,139293,718235,108
CORLE OÜ,270100,163765,2324296,44
RGR AIRON OÜ,270083,125136,2807894,57
STERA SAUE AS,269992,290099,3739351,92
FIIZY OÜ,269979,209022,3390557,41
KIILTO EESTI OÜ,269969,48921,2031076,12
KESKÜHISTU ERAMETS,269626,10418,2450435,8
BALTRONIC OÜ,269613,100399,2114555,49
MICROSOFT ESTONIA OÜ,269386,266752,828747,13
COMBIMILL SAKALA OÜ,269281,196703,7481096,59
HUSQVARNA EESTI OÜ,269128,39182,2491137,10
ACE LOGISTICS ESTONIA AS,268939,127614,4251552,49
INEST MARKET AS,268855,49371,1400080,39
NARVA VESI AS,268829,189134,1158550,99
PREAB AS,268818,286563,4136283,139
RAIDKIVI OÜ,268356,35383,1880499,18
ENERGOMONTAJ SA EESTI FILIAAL,268151,45838,883708,131
DEBORA GRUPP AS,268139,14460,1701160,13
GF ANAPOL OÜ,267976,60072,2236532,17
ALEXELA LOGISTICS AS,267205,142154,1241965,18
NARVA-BARK AS,266051,138133,1264079,146
HANKEN OÜ,265770,125589,1039611,49
DIAMEDICA OÜ,265749,87585,1923546,19
STUWE SERVICE OÜ,265694,218354,592384,58
TAVID AS,265457,252684,3848967,66
KADARBIKU KÖÖGIVILI OÜ,265070,109494,1374136,67
GT TARKVARA OÜ,265032,35483,2871052,9
RAMIRENT SHARED SERVICES AS,265030,281676,1077119,88
KMG INSENERIEHITUSE AS,264908,60944,11784361,14
XL PARTS BALTICS SIA EESTI FILIAAL,263988,96162,2160273,38
SIA GRUNDFOS PUMPS BALTIC EESTI FILIAAL,263874,40745,2025082,9
ROLANDS MOISEJS OÜ,263645,42433,2607136,10
TLR SERVICES OÜ,263559,7588,2361554,3
DIRECTO OÜ,263383,124676,1049099,35
SCANWELD AS,263310,201899,1985614,75
VIESSMANN KÜLMASÜSTEEMID OÜ,263205,12530,2397440,2
VÄÄTSA PRÜGILA AS,263094,59509,1743405,46
VÄO PAAS OÜ,262864,105200,1364756,33
OÜ HALINGA,262804,141857,1578559,79
ARROW ECS BALTIC OÜ,262707,29666,5516620,13
MÖÖBLIFURNITUUR AS,262606,51123,1712236,35
KINGSPAN INSULATION OÜ,262549,17444,2027727,4
STUDIO P8 OSAÜHING,261784,89812,1011357,8
ORACLE EAST CENTRAL EUROPE LIMITED EESTI FILIAAL,261663,50403,2202459,6
VIACON EESTI AS,261628,64523,2061026,14
AGROVARUSTUS OÜ,261562,44381,2286613,14
JAHELOGISTIKA OÜ,261214,185831,703547,93
OKO RESTORANID OÜ,261146,181667,1107659,116
RGB BALTIC OÜ,261068,143325,1209596,41
TIPTIPTAP OÜ,260889,118350,2287517,53
JUMALUX OÜ,260293,171220,521245,159
HENKEL BALTI OPERATIONS OÜ,260234,276711,1735954,105
INTERPAP AS,260221,5571,46105,5
AS REACH-U,260074,252427,772211,71
TAVA METS OÜ,259858,43450,1488266,17
CHARLOT OÜ,259603,152479,3757937,124
OBO BETTERMANN OÜ,259334,49687,1985800,14
VALNES AS,258449,87128,1688965,26
LESANIO OÜ,258186,6805,2166861,4
HANDYMANN OÜ,257987,51377,2839734,35
KASTION OÜ,257691,124590,1293892,93
TIMBERSTON OÜ,257104,146311,1499809,70
WERMSTOCK AS,257026,27132,2054168,10
MULTIVAC OY EESTI FILIAAL,256937,33576,1622569,7
EESTI TALLEKS AS,256434,119694,1117453,30
VÄNDRA OÜ,256335,143553,1410654,58
ADELL TAEVAS OÜ,255989,132031,1224573,41
CUTFORM OÜ,255657,269876,2945553,94
MECONET AS,254607,161133,7041843,66
SWEDBANK P&C INSURANCE AS,254309,243660,117227,84
TARTU MILL AS,254212,159004,15435731,57
SAVEKATE OÜ,253749,170119,2238335,58
RAPALA EESTI AS,253581,270969,2865654,240
VÕRGUVARA OÜ,252914,75279,1678351,21
PÄRNU VESI AS,252607,124210,1454175,65
APRICOT OÜ,252583,18950,504591,16
OÜ PEAS LOGISTIKA,252417,4701,489721,2
